keyword,count
data analysis,943
data analyst,920
data science,652
senior,642
artificial intelligence,458
lead,354
data scientist,262
data engineer,152
python,137
business analyst,119
sql,112
machine learning,107
data analytics,104
trainee,103
function,97
graduate,96
principal,88
r,75
gis,69
power bi,65
excel,63
azure,59
business intelligence,51
data quality,50
junior,43
forecasting,41
agile,38
data governance,38
data pipelines,37
aws,36
snowflake,34
problem solving,33
etl,33
data warehouse,28
senior data analyst,26
entry level,20
databricks,18
communication skills,13
sql server,12
devops,12
data transformation,12
data architecture,11
senior level,11
data migration,11
precision,10
oracle,9
classification,8
gcp,8
tableau,8
mysql,8
looker,8
data integration,7
attention to detail,7
data security,7
data visualization,6
map,6
powerbi,6
pytorch,6
apprentice,6
self-motivated,5
time series,5
kpi,5
intern,5
reduce,5
tensorflow,5
sas,5
filter,5
nlp,4
statistical analysis,4
data privacy,4
stakeholder management,4
api,3
linear regression,3
a/b testing,3
mid level,3
scikit-learn,3
big data,3
google cloud,3
spatial data,3
data cleansing,3
docker,3
kubernetes,3
mongodb,2
natural language processing,2
teamwork,2
data structures,2
power query,2
gdpr,2
postgresql,2
exploratory data analysis,2
redshift,2
time management,2
data lake,2
data storytelling,2
dax,2
scrum,1
deep learning,1
spark,1
data design,1
model evaluation,1
arcgis,1
postgis,1
bigquery,1
presentation skills,1
junior data analyst,1
flask,1
cloud computing,1
data breach,1
critical thinking,1
numpy,1
lean,1
ci/cd,1
data mining,1
